date,open,high,low,close,volume
2022-09-02,3.6300,3.6600,3.5900,3.6000,898612
2022-09-01,3.6100,3.6100,3.5600,3.6000,705481
2022-08-31,3.6600,3.6600,3.6000,3.6300,885933
2022-08-30,3.6800,3.6800,3.6100,3.6500,969515
2022-08-29,3.6500,3.6800,3.6300,3.6600,741487
2022-08-26,3.7100,3.7250,3.6500,3.6600,498370
2022-08-25,3.7200,3.7700,3.6900,3.7700,456900
2022-08-24,3.6900,3.7300,3.6800,3.6800,524204
2022-08-23,3.6800,3.7300,3.6750,3.7200,583427
2022-08-22,3.7200,3.7200,3.6500,3.6800,1131655
2022-08-19,3.7600,3.7700,3.7100,3.7500,1793167
2022-08-18,3.8000,3.8200,3.7820,3.8200,459627
2022-08-17,3.8300,3.8400,3.7750,3.8200,362623
2022-08-16,3.7900,3.8100,3.7600,3.8100,431976
2022-08-15,3.8100,3.8300,3.7950,3.8300,731040
2022-08-12,3.8000,3.8400,3.7800,3.8000,1077667
2022-08-11,3.8200,3.8386,3.7900,3.8100,1131693
2022-08-10,3.7600,3.8000,3.7500,3.8000,949285
2022-08-09,3.6700,3.7300,3.6650,3.7200,1679417
2022-08-08,3.6700,3.7200,3.6500,3.6500,2628713
2022-08-05,3.6700,3.6700,3.5900,3.6400,1755627
2022-08-04,3.5700,3.6800,3.5700,3.6600,972315
2022-08-03,3.6300,3.6600,3.3805,3.4800,1620001
2022-08-02,3.8500,3.8550,3.7700,3.7700,1514385
2022-08-01,3.8500,3.8600,3.8100,3.8400,1803461
2022-07-29,3.7900,3.8650,3.7600,3.8300,1074624
2022-07-28,3.7600,3.7950,3.7450,3.7800,635741
2022-07-27,3.7000,3.7400,3.6800,3.7300,499152
2022-07-26,3.7400,3.7400,3.7000,3.7300,516787
2022-07-25,3.7300,3.7550,3.7100,3.7400,928882
2022-07-22,3.7200,3.7400,3.7100,3.7400,594878
2022-07-21,3.7100,3.7150,3.6750,3.7000,748856
2022-07-20,3.7100,3.7300,3.6850,3.7100,1650737
2022-07-19,3.7600,3.8100,3.7400,3.7700,1517435
2022-07-18,3.7400,3.7500,3.7000,3.7300,2087757
2022-07-15,3.6600,3.7150,3.5950,3.7000,1665160
2022-07-14,3.6400,3.6600,3.6050,3.6600,944629
2022-07-13,3.6700,3.7100,3.6450,3.7100,612508
2022-07-12,3.6500,3.7200,3.6450,3.7100,934759
